firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Alteon Websystems Inc,19990923,ATON,02145A109,87221,37665081,0,1996,0
Altera,19880330,ALTR,21441100,75577,17664393,0,1983,0
Alternative Resources,19940502,ALRC,02145R102,80503,7267531,0,1988,0
Altigen Communications Inc,19991004,ATGN,21489109,87301,12821049,0,1994,0
Altiris Inc,20020523,ATRS,02148M10,89383,19795933,0,1996,0
ALTRON INC.,19840807,ALRN,2209210,12205,3206000,0,1970,0
Altus Pharmaceuticals Inc,20060126,ALTU,02216N105,91074,22051943,0,1992,0
Alyn,19961022,ALYN,22611107,84050,10750586,0,1996,0
Amarillo Biosciences,19960807,AMAR,02301P106,83840,5113782,0,1984,0
Amazon.com Inc,19970515,AMZN,23135106,84788,23858702,0,1994,0
AMBAC,19910711,ABK,23139108,76757,35000000,0,1971,0
Ambar,19911212,AMBR,23162100,77174,3464848,0,1980,0
Ambarella Inc,20121009,AMBA,G037AX101,13634,25909462,0,2004,0
Ambient Corporation,19980212,ABTG,02318N102,12959,2984333,0,1996,0
Ambit Biosciences Corp,20130515,AMBI,02318X100,13920,14578063,0,2000,0
AMDAHL,19760812,AMH,2390510,60046,5994228,0,1970,.
Amdocs Ltd,19980619,DOX,G0260210,86144,196800032,0,1982,0
AME,19870401,AMEA,1676105,11231,5250000,0,1961,0
Amedica,20140213,AMDA,23435100,14444,12127454,0,1996,0
America Online,19920319,AMER,02364J104,77418,5375384,0,1985,0
American Bank Note Holograph,19980714,ABH,24377103,86219,13636000,0,1993,0
American Biogenetic Sciences,19900501,MABXA,24611204,76295,6000000,0,1983,0
American BioMed,19911022,ABMI,02461T104,77197,2784569,0,1984,0
American Buildings,19940429,ABCO,24757106,80431,6224700,0,1947,0
American Coin Merchandising,19951013,AMCN,02516B108,82470,5080308,0,1988,0
American Consumer Products,19861007,ACPI,25236100,10733,1925000,0,1982,0
American Dental Laser,19910618,ADLI,25352105,76701,6802255,0,1986,0
American Electronic Components,19940616,AECI,25562109,80608,3729771,0,1982,0
AMERICAN HEALTHCARE,19840817,AHI,2649610,66421,11379630,1,1978,0
American Italian Pasta Co,19971008,PLB,27070101,85411,16776056,1,1986,0
American Learning,19860731,READ,27134105,10538,3850000,0,1969,0
American Medical Response,19920805,EMT,27446103,77856,9363501,0,1992,0
American Medical Technology,19870514,AMMT,27908102,11337,2266000,0,1984,0
American Oilfield Divers,19930721,DIVE,02872R101,79378,6238750,0,1992,0
American Pad & Paper,19960701,AGP,28816106,83719,33683643,0,1992,1
