ipo_firm,year,forward_cnt4,forward_cnt5,forward_cnt7
02 Micro International Limited,2001,3,4,8
02 Micro International Limited,2002,29,53,99
02 Micro International Limited,2003,12,22,34
02 Micro International Limited,2004,41,50,67
02 Micro International Limited,2008,25,29,35
1-800 CONTACTS INC,2010,5,8,11
1-800 CONTACTS INC,2011,0,0,4
21st Century Holding Company,1993,2,2,3
21Vianet Group Inc,2014,5,6,6
24/7 Media Inc,2000,21,32,73
3-Dimensional Pharmaceuticals,1995,28,44,84
3-Dimensional Pharmaceuticals,1996,10,20,37
3-Dimensional Pharmaceuticals,1997,23,31,48
3-Dimensional Pharmaceuticals,1998,8,16,31
3-Dimensional Pharmaceuticals,1999,25,32,42
3-Dimensional Pharmaceuticals,2000,56,71,98
3-Dimensional Pharmaceuticals,2001,55,83,130
3-Dimensional Pharmaceuticals,2002,44,58,82
3-Dimensional Pharmaceuticals,2003,23,35,64
3-Dimensional Pharmaceuticals,2004,5,6,6
3-Dimensional Pharmaceuticals,2005,1,4,6
3-Dimensional Pharmaceuticals,2006,4,6,9
3-Dimensional Pharmaceuticals,2007,1,1,2
3-Dimensional Pharmaceuticals,2008,1,4,13
3COM CORP.,1984,4,6,14
3COM CORP.,1988,5,6,9
3COM CORP.,1989,3,4,7
3COM CORP.,1991,9,13,24
3COM CORP.,1993,6,9,13
3COM CORP.,1994,60,84,121
3COM CORP.,1995,193,261,373
3COM CORP.,1996,288,438,604
3COM CORP.,1997,227,294,385
3COM CORP.,1998,491,605,830
3COM CORP.,1999,976,1267,2123
3COM CORP.,2000,1595,2034,3179
3COM CORP.,2001,1749,2499,3593
3COM CORP.,2002,1468,1885,2943
3COM CORP.,2003,1478,2067,3487
3COM CORP.,2004,1198,1681,2970
3COM CORP.,2005,462,724,1222
3COM CORP.,2006,674,998,1669
3COM CORP.,2007,188,254,391
3COM CORP.,2008,216,303,494
3COM CORP.,2009,167,230,338
3COM CORP.,2010,58,87,203
3Dfx Interactive Inc,1998,19,28,62
3Dfx Interactive Inc,1999,10,20,28
3Dfx Interactive Inc,2000,9,11,24
3Dfx Interactive Inc,2001,1,2,3
3Dlabs Inc.,1995,10,10,14
3Dlabs Inc.,1996,6,7,10
3Dlabs Inc.,1997,33,64,115
3Dlabs Inc.,1998,119,211,339
3Dlabs Inc.,1999,7,10,15
3Dlabs Inc.,2000,79,94,161
3Dlabs Inc.,2001,42,50,59
3Dlabs Inc.,2002,37,41,54
3Dlabs Inc.,2003,24,36,69
3Dlabs Inc.,2004,19,32,83
3Dlabs Inc.,2005,12,28,70
3Dlabs Inc.,2006,10,13,16
3Dlabs Inc.,2007,15,17,39
3Dlabs Inc.,2008,9,11,17
3Dlabs Inc.,2009,29,67,131
3Dlabs Inc.,2010,0,0,4
3Dlabs Inc.,2014,13,14,16
724 Solutions Inc,2001,2,4,7
724 Solutions Inc,2004,6,7,8
724 Solutions Inc,2008,2,4,9
724 Solutions Inc,2010,10,10,12
724 Solutions Inc,2011,0,0,2
724 Solutions Inc,2012,14,18,26
8x8 Inc,1999,12,14,19
8x8 Inc,2000,12,14,24
8x8 Inc,2001,1,1,1
8x8 Inc,2002,1,2,3
8x8 Inc,2005,0,1,1
8x8 Inc,2006,8,9,31
8x8 Inc,2007,4,7,11
8x8 Inc,2008,1,2,4
8x8 Inc,2011,3,6,9
8x8 Inc,2012,14,26,43
8x8 Inc,2013,22,29,47
8x8 Inc,2014,22,42,52
8x8 Inc,2015,38,46,46
8x8 Inc,2016,43,43,43
A10 Networks Inc,2009,0,2,8
A10 Networks Inc,2010,18,30,62
A10 Networks Inc,2011,14,21,39
A10 Networks Inc,2012,58,86,172
A10 Networks Inc,2013,140,240,313
A10 Networks Inc,2014,280,353,360
A10 Networks Inc,2015,429,437,437
A10 Networks Inc,2016,382,382,382
A123 Systems Inc,2006,12,14,33
A123 Systems Inc,2007,5,9,14
A123 Systems Inc,2008,28,45,72
A123 Systems Inc,2009,16,25,44
A123 Systems Inc,2010,32,43,53
A123 Systems Inc,2011,22,23,26
A123 Systems Inc,2012,48,62,85
A123 Systems Inc,2013,49,65,93
A123 Systems Inc,2014,14,19,21
A123 Systems Inc,2015,11,12,12
A123 Systems Inc,2016,2,2,2
Aastrom Biosciences Inc,1997,4,5,11
Aastrom Biosciences Inc,1999,2,7,9
Aastrom Biosciences Inc,2000,2,6,10
Aastrom Biosciences Inc,2001,1,2,5
Aastrom Biosciences Inc,2004,0,0,1
Aastrom Biosciences Inc,2010,3,3,8
Aastrom Biosciences Inc,2012,4,4,6
Aastrom Biosciences Inc,2013,3,4,5
Aavid Thermal Technologies,1998,10,13,35
Aavid Thermal Technologies,1999,11,14,17
Aavid Thermal Technologies,2000,4,4,7
Aavid Thermal Technologies,2001,8,9,12
Aavid Thermal Technologies,2003,6,8,14
Aavid Thermal Technologies,2004,2,3,7
Aavid Thermal Technologies,2006,6,8,9
Aavid Thermal Technologies,2007,1,2,4
Aavid Thermal Technologies,2012,2,2,3
Aavid Thermal Technologies,2013,0,1,1
Aavid Thermal Technologies,2015,8,9,9
Aavid Thermal Technologies,2016,1,1,1
Abaxis,1991,5,6,14
Abaxis,1992,5,9,18
Abaxis,1993,11,11,37
Abaxis,1994,5,15,27
Abaxis,1995,34,62,104
Abaxis,1996,8,13,25
Abaxis,1997,23,31,63
Abaxis,1998,1,1,1
Abaxis,1999,1,1,1
Abaxis,2001,1,1,3
Abaxis,2004,3,3,5
Abaxis,2007,0,0,2
Abaxis,2012,0,0,1
Abaxis,2013,4,6,9
Abaxis,2014,10,12,12
Abaxis,2015,10,10,10
Abaxis,2016,4,4,4
ABC Rail Products,1988,7,7,7
ABC Rail Products,1989,1,1,2
ABC Rail Products,1990,1,1,3
ABC Rail Products,1994,1,1,2
ABC Rail Products,1995,0,0,1
ABC Rail Products,1996,6,9,9
ABC Rail Products,1997,2,2,3
ABC Rail Products,1998,6,6,6
ABC Rail Products,2000,1,1,5
Abercrombie & Fitch,2008,9,10,15
Abercrombie & Fitch,2012,0,0,5
Abgenix Inc,1999,11,17,52
Abgenix Inc,2000,107,153,248
Abgenix Inc,2001,2,5,8
Abgenix Inc,2002,2,2,6
Abgenix Inc,2003,3,5,10
Abgenix Inc,2004,11,24,44
Abgenix Inc,2005,1,3,7
Abgenix Inc,2006,25,36,60
Abgenix Inc,2007,9,17,34
Abgenix Inc,2008,10,13,22
Abgenix Inc,2009,4,5,11
ABIOMED,1988,3,3,8
ABIOMED,1989,14,26,39
ABIOMED,1990,16,26,52
ABIOMED,1991,3,4,5
ABIOMED,1992,22,29,67
ABIOMED,1993,6,7,12
ABIOMED,1997,4,6,25
ABIOMED,1998,91,155,224
ABIOMED,2000,5,5,6
ABIOMED,2001,53,82,132
ABIOMED,2002,17,24,51
ABIOMED,2003,39,59,101
ABIOMED,2005,7,10,16
ABIOMED,2006,13,23,73
ABIOMED,2010,2,3,22
ABIOMED,2011,3,4,6
ABIOMED,2012,22,44,87
ABIOMED,2013,16,35,71
ABIOMED,2014,84,97,108
ABIOMED,2015,49,54,54
ABIOMED,2016,21,21,21
Acacia Communications Inc,2013,3,5,6
Acacia Communications Inc,2014,1,2,2
Acacia Communications Inc,2015,17,17,17
Acacia Communications Inc,2016,9,9,9
Acadia Pharmaceuticals,1999,2,2,3
Acadia Pharmaceuticals,2003,0,0,8
Acadia Pharmaceuticals,2004,13,22,49
Acadia Pharmaceuticals,2005,14,25,36
Acadia Pharmaceuticals,2006,4,4,9
Acadia Pharmaceuticals,2007,3,4,11
Acadia Pharmaceuticals,2008,2,3,5
Acadia Pharmaceuticals,2009,25,32,44
Acadia Pharmaceuticals,2010,18,26,47
Acadia Pharmaceuticals,2011,16,32,57
Acadia Pharmaceuticals,2012,9,13,19
Acadia Pharmaceuticals,2013,12,14,20
Acadia Pharmaceuticals,2014,4,7,8
Acadia Pharmaceuticals,2015,10,11,11
Acadia Pharmaceuticals,2016,9,9,9
Accelerated Networks Inc,2004,29,37,58
Acceleron Pharma Inc,2008,2,2,5
Acceleron Pharma Inc,2009,15,21,31
Acceleron Pharma Inc,2010,17,25,66
Acceleron Pharma Inc,2011,52,90,144
Acceleron Pharma Inc,2012,124,167,246
Acceleron Pharma Inc,2013,38,46,68
Acceleron Pharma Inc,2014,100,134,135
Acceleron Pharma Inc,2015,11,12,12
Acceleron Pharma Inc,2016,27,27,27
AccelGraphics Inc,1997,2,4,5
Accent Color Sciences,1997,1,2,2
Accent Color Sciences,1998,13,13,17
Accent Color Sciences,2001,5,6,6
Accentia Biopharmaceuticals,2014,1,1,1
Accenture LTD,2001,125,209,376
Accenture LTD,2002,537,765,1529
Accenture LTD,2003,1153,1801,4285
Accenture LTD,2004,582,844,1652
Accenture LTD,2005,371,629,1309
Accenture LTD,2006,1243,1853,3366
Accenture LTD,2007,526,805,1465
Accenture LTD,2008,656,920,1477
Accenture LTD,2009,271,380,620
Accenture LTD,2010,498,652,970
Accenture LTD,2011,847,1082,1577
Accenture LTD,2012,448,628,1172
Accenture LTD,2013,533,764,1110
Accenture LTD,2014,554,835,913
Accenture LTD,2015,206,227,227
Accenture LTD,2016,228,228,228
ACCO WORLD CORPORATION,1984,0,0,1
ACCO WORLD CORPORATION,1988,11,14,21
ACCO WORLD CORPORATION,1989,1,3,3
ACCO WORLD CORPORATION,1990,7,7,8
ACCO WORLD CORPORATION,1991,5,5,7
ACCO WORLD CORPORATION,1992,2,3,14
ACCO WORLD CORPORATION,1993,3,4,4
Accom,1992,4,4,6
Accom,1994,8,9,13
Accom,1995,19,21,22
Accom,1996,11,15,17
Accom,1997,6,13,17
Accretive Health Inc,2010,4,4,4
Accretive Health Inc,2014,1,4,6
Accuray Inc,1993,9,14,26
Accuray Inc,1995,6,10,20
Accuray Inc,2000,13,21,33
Accuray Inc,2002,7,10,31
Accuray Inc,2004,4,9,40
Accuray Inc,2006,75,124,237
Accuray Inc,2007,225,337,538
Accuray Inc,2008,61,83,146
Accuray Inc,2009,137,188,253
Accuray Inc,2010,74,108,167
Accuray Inc,2011,52,69,107
Accuray Inc,2012,82,116,349
Accuray Inc,2013,49,66,105
Accuray Inc,2014,131,334,382
Accuray Inc,2015,35,40,40
Accuray Inc,2016,32,32,32
Accuride Corp,1993,8,11,14
Accuride Corp,1994,2,3,6
Accuride Corp,1996,6,7,10
Accuride Corp,1997,0,0,1
Accuride Corp,1998,15,20,44
Accuride Corp,1999,11,16,34
Accuride Corp,2000,8,11,17
Accuride Corp,2001,23,31,45
Accuride Corp,2002,18,28,36
Accuride Corp,2004,32,40,60
Accuride Corp,2005,17,25,71
Accuride Corp,2006,7,13,36
Accuride Corp,2007,4,5,13
Accuride Corp,2008,3,3,9
Accuride Corp,2009,16,19,23
Accuride Corp,2010,8,12,22
Accuride Corp,2011,13,17,21
Accuride Corp,2012,26,35,75
Accuride Corp,2013,7,10,14
Accuride Corp,2014,0,1,1
Accuride Corp,2015,17,20,20
Accuride Corp,2016,6,6,6
ACE Ltd,1985,3,5,9
ACE Ltd,1986,3,6,8
ACE Ltd,1987,6,10,14
ACE Ltd,1988,0,1,1
ACE Ltd,1989,3,5,7
ACE Ltd,1990,10,14,30
ACE Ltd,1991,21,29,40
ACE Ltd,1992,11,13,19
ACE Ltd,1993,7,8,16
ACE Ltd,1994,14,18,26
ACE Ltd,1995,5,5,6
ACE Ltd,1996,5,9,11
ACE Ltd,1997,18,22,25
ACE Ltd,1998,15,21,29
ACE Ltd,1999,44,47,64
ACE Ltd,2000,5,5,12
ACE Ltd,2001,24,29,51
ACE Ltd,2002,20,28,51
ACE Ltd,2003,19,30,40
ACE Ltd,2004,32,43,74
ACE Ltd,2005,3,7,12
ACE Ltd,2006,18,21,28
ACE Ltd,2007,13,14,30
ACE Ltd,2008,1,3,4
ACE Ltd,2009,28,29,57
ACE Ltd,2010,11,16,29
ACE Ltd,2011,14,14,24
ACE Ltd,2012,16,22,30
ACE Ltd,2013,25,31,40
ACE Ltd,2014,11,15,15
ACE Ltd,2015,16,18,18
ACE Ltd,2016,7,7,7
AcelRx Pharmaceuticals Inc,2012,27,35,56
AcelRx Pharmaceuticals Inc,2013,39,55,84
AcelRx Pharmaceuticals Inc,2014,49,74,78
AcelRx Pharmaceuticals Inc,2015,6,6,6
AcelRx Pharmaceuticals Inc,2016,10,10,10
Achaogen Inc,2012,9,10,10
Achaogen Inc,2013,52,52,52
Achaogen Inc,2014,9,9,9
Achaogen Inc,2016,3,3,3
Achillion Pharmaceuticals Inc,2006,0,3,4
Achillion Pharmaceuticals Inc,2007,1,1,1
Achillion Pharmaceuticals Inc,2009,1,1,1
Achillion Pharmaceuticals Inc,2010,0,0,3
Achillion Pharmaceuticals Inc,2011,15,21,26
Achillion Pharmaceuticals Inc,2012,6,9,15
Achillion Pharmaceuticals Inc,2013,6,6,8
Achillion Pharmaceuticals Inc,2014,6,6,6
Achillion Pharmaceuticals Inc,2015,5,5,5
Achillion Pharmaceuticals Inc,2016,11,11,11
Aclara Biosciences Inc,1999,52,76,139
Aclara Biosciences Inc,2000,66,102,222
Aclara Biosciences Inc,2001,60,110,189
Aclara Biosciences Inc,2002,13,21,43
Aclara Biosciences Inc,2003,70,97,170
Aclara Biosciences Inc,2004,13,16,48
Aclara Biosciences Inc,2005,14,22,134
Aclara Biosciences Inc,2006,2,2,24
Acme Packet Inc,2006,103,167,321
Acme Packet Inc,2007,30,40,50
Acme Packet Inc,2008,75,107,147
Acme Packet Inc,2009,9,11,12
Acme Packet Inc,2010,13,18,25
Acme Packet Inc,2011,3,4,5
Acme Packet Inc,2012,4,6,8
Acme Packet Inc,2013,5,5,5
Acme Packet Inc,2016,1,1,1
Acorda Therapeutics Inc,1998,1,1,1
Acorda Therapeutics Inc,2003,1,1,4
Acorda Therapeutics Inc,2004,1,3,9
Acorda Therapeutics Inc,2006,1,2,7
Acorda Therapeutics Inc,2008,3,4,5
Acorda Therapeutics Inc,2009,0,0,1
Acorda Therapeutics Inc,2010,2,4,7
Acorda Therapeutics Inc,2011,3,3,6
Acorda Therapeutics Inc,2012,3,11,27
Acorda Therapeutics Inc,2013,7,14,17
Acorda Therapeutics Inc,2014,13,19,20
Acorda Therapeutics Inc,2015,11,11,11
Acorda Therapeutics Inc,2016,8,8,8
Acorn Products Inc,2004,2,3,5
Acorn Products Inc,2008,3,7,14
Acorn Products Inc,2009,4,4,8
Acorn Products Inc,2013,1,1,1
Acorn Products Inc,2015,6,6,6
Acres Gaming,1997,43,59,116
Acres Gaming,1998,58,109,212
Acres Gaming,1999,25,33,59
Acres Gaming,2000,14,28,62
Acres Gaming,2001,140,180,307
Acres Gaming,2002,66,99,265
Acres Gaming,2003,12,23,178
Acres Gaming,2004,27,61,271
Acres Gaming,2005,39,117,281
Acres Gaming,2006,22,36,90
ACSYS Inc,2002,1,5,7
Actel,1987,3,6,7
Actel,1988,30,43,103
Actel,1989,68,125,250
Actel,1990,75,114,226
Actel,1991,110,183,307
Actel,1992,177,263,381
Actel,1993,242,317,439
Actel,1994,204,272,341
Actel,1995,177,264,332
Actel,1996,256,305,400
Actel,1997,101,124,198
Actel,1998,123,146,233
Actel,1999,56,85,141
Actel,2000,89,126,200
Actel,2001,81,140,201
Actel,2002,102,126,195
Actel,2003,65,86,143
Actel,2004,104,143,232
Actel,2005,163,207,279
Actel,2006,288,347,451
Actel,2007,104,122,153
Actel,2008,193,316,502
Actel,2009,133,182,238
Actel,2010,63,68,88
Actel,2011,53,65,90
Actel,2012,17,21,36
Actel,2013,2,4,28
Action Performance Companies,1998,3,5,5
Action Performance Companies,1999,1,1,1
Actions Semiconductor,2012,7,7,7
Actions Semiconductor,2013,5,5,5
Actions Semiconductor,2014,0,0,1
Active Power Inc,1998,14,17,23
Active Power Inc,1999,36,60,74
Active Power Inc,2000,16,18,23
Active Power Inc,2001,21,27,47
Active Power Inc,2002,7,8,15
Active Power Inc,2003,9,11,19
Active Power Inc,2005,11,17,36
Active Power Inc,2006,9,24,83
Active Power Inc,2008,16,22,24
Active Power Inc,2010,40,43,49
Active Power Inc,2011,2,2,3
Active Power Inc,2014,7,21,22
Active Voice,1991,6,8,10
Active Voice,1994,15,16,22
Active Voice,1996,59,95,165
Active Voice,1997,25,46,65
Active Voice,1999,24,28,42
Active Voice,2000,5,8,12
"ACTIVISION, INC.",1987,5,7,11
"ACTMEDIA, INC.",1992,5,6,10
"ACTMEDIA, INC.",1993,5,8,17
"ACTMEDIA, INC.",1994,5,6,14
"ACTMEDIA, INC.",1995,4,6,11
Actuate Software Corp,1997,12,14,27
Actuate Software Corp,1999,8,14,23
ACTV Inc.,1986,28,30,36
ACTV Inc.,1989,6,9,24
ACTV Inc.,1996,53,73,124
ACTV Inc.,1997,7,20,35
ACTV Inc.,1998,165,230,361
ACTV Inc.,1999,37,52,82
ACTV Inc.,2000,70,87,136
ACTV Inc.,2001,30,75,159
ACTV Inc.,2003,23,31,49
ACTV Inc.,2004,4,6,22
ACTV Inc.,2006,26,61,140
ACTV Inc.,2007,14,23,41
ACTV Inc.,2008,39,59,119
ACTV Inc.,2011,10,17,50
Acuson,1985,3,3,4
Acuson,1987,1,1,3
Acuson,1991,17,22,40
Acuson,1992,17,25,43
Acuson,1993,15,23,32
Acuson,1994,64,79,119
Acuson,1995,66,110,151
Acuson,1996,235,338,489
Acuson,1997,397,482,600
Acuson,1998,211,288,378
Acuson,1999,493,599,728
Acuson,2000,350,401,497
Acuson,2001,270,337,456
Acuson,2002,202,262,405
Acuson,2003,115,152,345
Acuson,2004,36,49,126
Acuson,2005,15,28,60
Acuson,2006,4,5,7
Acusphere Inc,1997,11,13,21
Acusphere Inc,1998,7,18,36
Acusphere Inc,2000,2,6,6
Acusphere Inc,2001,8,9,13
Acusphere Inc,2002,40,46,63
Acusphere Inc,2003,6,8,29
Acusphere Inc,2004,5,8,22
Acusphere Inc,2005,10,16,43
Acusphere Inc,2006,0,0,3
Acusphere Inc,2007,1,1,3
Acusphere Inc,2008,0,1,3
Acusphere Inc,2011,8,17,42
Acusphere Inc,2013,1,2,2
Adamas Pharmaceuticals Inc,2009,14,23,25
Adamas Pharmaceuticals Inc,2010,8,10,10
Adamas Pharmaceuticals Inc,2011,22,22,36
Adamas Pharmaceuticals Inc,2012,85,85,128
Adamas Pharmaceuticals Inc,2013,51,78,86
Adamas Pharmaceuticals Inc,2014,68,116,116
Adamas Pharmaceuticals Inc,2015,23,23,23
Adams Golf Inc,1994,6,9,21
Adams Golf Inc,1995,14,19,23
Adams Golf Inc,1996,6,12,13
Adams Golf Inc,1998,5,7,10
Adams Golf Inc,1999,3,5,6
Adams Golf Inc,2000,8,9,11
Adams Golf Inc,2001,30,39,47
Adams Golf Inc,2002,3,3,3
Adams Golf Inc,2004,6,10,15
Adams Golf Inc,2006,6,8,20
Adams Golf Inc,2007,91,103,140
Adams Golf Inc,2008,47,47,62
Adams Golf Inc,2009,167,219,293
Adams Golf Inc,2010,36,55,88
Adams Golf Inc,2011,126,150,207
Adams Golf Inc,2012,256,383,561
Adaptec,1992,3,3,4
Adaptec,1993,0,1,2
Adaptec,1995,22,27,35
Adaptec,1996,31,37,49
Adaptec,1997,115,147,186
Adaptec,1998,227,267,345
Adaptec,1999,227,284,424
Adaptec,2000,276,369,646
Adaptec,2001,275,403,627
Adaptec,2002,257,385,621
Adaptec,2003,169,237,362
Adaptec,2004,204,285,529
Adaptec,2005,125,181,299
Adaptec,2006,282,384,580
Adaptec,2007,78,95,135
Adaptec,2008,30,41,61
Adaptec,2009,22,29,40
Adaptec,2010,29,36,48
Adaptec,2011,1,2,2
Adaptive Solutions Inc,1993,0,0,2
Adaptive Solutions Inc,1994,2,3,8
Adaptive Solutions Inc,1996,15,20,28
ADCO Technologies,1993,13,18,33
ADCO Technologies,1994,3,4,8
ADCO Technologies,1995,2,6,15
ADCO Technologies,1999,8,12,15
ADCO Technologies,2000,7,9,11
ADCO Technologies,2001,7,7,7
ADCO Technologies,2002,6,8,12
ADCO Technologies,2003,1,1,5
ADCO Technologies,2004,10,12,22
ADCO Technologies,2005,4,4,4
ADCO Technologies,2006,0,2,6
ADCO Technologies,2011,15,17,25
ADCO Technologies,2012,21,34,46
ADCO Technologies,2013,21,24,26
ADCO Technologies,2014,84,109,117
ADCO Technologies,2015,19,21,21
ADCO Technologies,2016,5,5,5
Addington Resources,1992,3,4,13
ADDITIVE TECHNOLOGY,1984,4,4,4
ADDITIVE TECHNOLOGY,1987,1,2,3
ADDITIVE TECHNOLOGY,1992,0,2,12
ADE,1976,3,6,9
ADE,1979,0,0,2
ADE,1980,1,2,3
ADE,1982,0,1,2
ADE,1984,5,10,20
ADE,1986,6,8,15
ADE,1987,7,9,9
ADE,1988,8,10,11
ADE,1989,6,8,16
ADE,1990,16,19,34
ADE,1991,4,6,9
ADE,1992,8,12,24
ADE,1993,8,12,21
ADE,1994,8,9,20
ADE,1995,6,11,20
ADE,1996,38,51,77
ADE,1997,26,35,37
ADE,1998,37,45,67
ADE,1999,28,34,52
ADE,2000,18,28,55
ADE,2001,47,70,91
ADE,2002,18,34,42
ADE,2003,15,22,33
ADE,2004,4,4,5
ADE,2005,6,18,39
ADE,2006,8,11,18
ADE,2007,11,18,26
ADE,2011,7,10,11
ADE,2012,0,0,2
ADE,2015,1,1,1
Adept Technology,1986,2,3,4
Adept Technology,1987,1,2,6
Adept Technology,1988,2,2,4
Adept Technology,1989,10,13,23
Adept Technology,1991,6,6,6
Adept Technology,1994,6,9,14
Adept Technology,1995,6,7,12
Adept Technology,1997,3,5,10
Adept Technology,2000,1,1,4
Adept Technology,2001,2,2,2
Adept Technology,2003,2,2,2
Adept Technology,2006,5,9,17
Adept Technology,2007,4,6,27
Adept Technology,2011,18,26,42
Adept Technology,2012,15,17,19
Adept Technology,2013,4,5,6
Adept Technology,2014,12,17,18
Adept Technology,2015,14,15,15
Adesto Technologies Corp,2008,6,8,32
Adesto Technologies Corp,2009,7,16,23
Adesto Technologies Corp,2010,2,2,3
Adesto Technologies Corp,2011,23,29,35
Adesto Technologies Corp,2012,46,58,72
Adesto Technologies Corp,2013,26,29,39
Adesto Technologies Corp,2014,48,66,68
Adesto Technologies Corp,2015,75,78,78
Adesto Technologies Corp,2016,25,25,25
Adeza Biomedical Corp,1992,14,22,36
Adeza Biomedical Corp,1993,2,2,11
Adeza Biomedical Corp,1994,2,3,8
Adeza Biomedical Corp,1995,2,5,9
Adeza Biomedical Corp,1996,6,8,11
Adeza Biomedical Corp,2000,8,12,15
Adeza Biomedical Corp,2001,10,14,21
Adeza Biomedical Corp,2002,7,13,33
Adeza Biomedical Corp,2003,13,15,31
Adeza Biomedical Corp,2004,14,18,27
Adeza Biomedical Corp,2005,21,29,56
Adeza Biomedical Corp,2007,5,5,18
ADMA Biologics,2015,3,3,3
Adobe Systems,1989,1,2,8
Adobe Systems,1991,7,16,32
Adobe Systems,1992,10,21,29
Adobe Systems,1993,40,58,88
Adobe Systems,1994,63,76,107
Adobe Systems,1995,13,15,21
Adobe Systems,1996,105,162,248
Adobe Systems,1997,79,111,174
Adobe Systems,1998,89,129,194
Adobe Systems,1999,153,206,348
Adobe Systems,2000,147,182,329
Adobe Systems,2001,170,255,424
Adobe Systems,2002,157,210,375
Adobe Systems,2003,148,217,395
Adobe Systems,2004,196,269,414
Adobe Systems,2005,128,216,368
Adobe Systems,2006,268,378,631
Adobe Systems,2007,230,347,539
Adobe Systems,2008,734,965,1439
Adobe Systems,2009,722,1065,1708
Adobe Systems,2010,1008,1436,2244
Adobe Systems,2011,1463,1950,2979
Adobe Systems,2012,2030,2827,4255
Adobe Systems,2013,2345,2962,3912
Adobe Systems,2014,1361,1716,1811
Adobe Systems,2015,683,721,721
Adobe Systems,2016,555,555,555
Adolor Corp,1997,35,44,68
Adolor Corp,1998,47,80,89
Adolor Corp,1999,47,50,56
Adolor Corp,2000,15,22,35
Adolor Corp,2001,26,33,58
Adolor Corp,2002,10,12,21
Adolor Corp,2003,3,3,9
Adolor Corp,2006,4,10,25
Adolor Corp,2007,3,4,4
Adolor Corp,2008,9,11,12
Adolor Corp,2009,6,7,8
Adolor Corp,2010,6,6,10
Adolor Corp,2011,7,7,7
Adolor Corp,2012,3,4,6
Adolor Corp,2013,1,2,3
Adolor Corp,2015,3,3,3
Adtec,1990,2,3,6
Adtec,1993,0,1,2
Adtec,1994,1,1,2
Adtec,1995,2,2,5
Adtec,1999,2,4,10
Adtec,2000,6,6,12
Adtec,2001,7,7,13
Adtec,2002,4,5,10
Adtec,2003,7,8,11
Adtec,2004,7,7,9
Adtec,2005,0,1,2
Adtec,2007,0,0,2
Adtec,2009,6,11,16
Adtec,2010,5,9,26
ADTRAN,1988,3,4,6
ADTRAN,1991,1,1,2
ADTRAN,1992,4,4,10
ADTRAN,1994,18,26,53
ADTRAN,1995,31,45,69
ADTRAN,1996,28,31,49
ADTRAN,1997,22,29,52
ADTRAN,1998,57,79,115
ADTRAN,1999,88,111,157
ADTRAN,2000,18,27,39
ADTRAN,2001,35,59,100
ADTRAN,2002,55,66,88
ADTRAN,2003,71,99,148
ADTRAN,2004,46,62,107
ADTRAN,2005,32,57,89
ADTRAN,2006,18,30,65
ADTRAN,2007,11,22,36
ADTRAN,2008,31,34,53
ADTRAN,2009,49,65,79
ADTRAN,2010,48,73,89
ADTRAN,2011,12,19,24
ADTRAN,2012,14,23,35
ADTRAN,2013,89,114,141
ADTRAN,2014,83,103,106
ADTRAN,2015,35,39,39
ADTRAN,2016,28,28,28
Aduro BioTech Inc,2010,7,9,24
Aduro BioTech Inc,2011,5,7,17
Aduro BioTech Inc,2012,2,4,9
Aduro BioTech Inc,2013,1,1,1
Aduro BioTech Inc,2015,21,21,21
Aduro BioTech Inc,2016,1,1,1
Advanced Accelerator,2013,1,1,1
Advanced Analogic Technologies,2000,5,5,8
Advanced Analogic Technologies,2001,17,27,49
Advanced Analogic Technologies,2002,17,26,47
Advanced Analogic Technologies,2003,2,2,5
Advanced Analogic Technologies,2004,13,17,27
Advanced Analogic Technologies,2005,77,133,204
Advanced Analogic Technologies,2006,26,32,51
Advanced Analogic Technologies,2007,43,52,63
Advanced Analogic Technologies,2008,5,6,11
Advanced Analogic Technologies,2009,56,69,100
Advanced Analogic Technologies,2010,172,240,420
Advanced Analogic Technologies,2011,56,75,109
Advanced Analogic Technologies,2012,26,35,48
Advanced Analogic Technologies,2013,67,73,76
Advanced Analogic Technologies,2014,74,99,104
Advanced Analogic Technologies,2015,14,14,14
Advanced Analogic Technologies,2016,19,19,19
Advanced Deposition,1994,6,9,12
Advanced Deposition,1995,7,11,16
Advanced Deposition,1996,3,6,12
Advanced Deposition,1998,24,32,56
Advanced Deposition,1999,1,2,2
Advanced Deposition,2000,1,2,3
Advanced Deposition,2001,2,2,2
Advanced Drainage Systems Inc,1976,1,2,2
Advanced Drainage Systems Inc,1978,3,3,4
Advanced Drainage Systems Inc,1981,0,0,1
Advanced Drainage Systems Inc,1990,2,3,6
Advanced Drainage Systems Inc,1992,4,4,10
Advanced Drainage Systems Inc,1995,0,0,2
Advanced Drainage Systems Inc,1996,1,4,4
Advanced Drainage Systems Inc,1998,3,4,8
Advanced Drainage Systems Inc,1999,2,2,3
Advanced Drainage Systems Inc,2000,4,6,7
Advanced Drainage Systems Inc,2003,3,3,7
Advanced Drainage Systems Inc,2004,17,28,37
Advanced Drainage Systems Inc,2005,5,5,6
Advanced Drainage Systems Inc,2007,6,9,19
Advanced Drainage Systems Inc,2008,3,5,9
Advanced Drainage Systems Inc,2009,0,2,3
Advanced Drainage Systems Inc,2010,0,2,3
Advanced Drainage Systems Inc,2011,1,1,2
Advanced Drainage Systems Inc,2012,0,1,2
Advanced Drainage Systems Inc,2013,2,2,4
Advanced Drainage Systems Inc,2014,11,14,16
