ipo_firm,assignee_firm,ticker,is_common,patent_cnt
ACE Ltd,ACE Surgeon Training LLC,ACE,1,1
ACE Ltd,"ACE Surgical Supply Co., Inc.",ACE,1,10
ACE Ltd,Ace Tank & Equipment Company,ACE,1,2
ACE Ltd,Ace Technologies Corporation,ACE,1,64
ACE Ltd,Ace Technology Corporation,ACE,1,1
ACE Ltd,Ace Termite & Pest Control,ACE,1,1
ACE Ltd,"Ace Tire & Parts, Inc.",ACE,1,2
ACE Ltd,"Ace Trainer, Inc.",ACE,1,1
ACE Ltd,"Ace Venture, Inc.",ACE,1,1
ACE Ltd,"Ace Ventures, Inc.",ACE,1,1
ACE Ltd,"ACE WORLD COMPANIES, LTD.",ACE,1,1
ACE Ltd,"ACE-Able Engineering Co., Inc.",ACE,1,1
ACE Ltd,"Ace-Five Co., Ltd.",ACE,1,1
ACE Ltd,"ACE-HINGE TECH CO., LTD.",ACE,1,3
ACE Ltd,"Ace-Mechatronics Co., Ltd.",ACE,1,1
ACE Ltd,"Ace-Tronics Company, Inc.",ACE,1,2
ACE Ltd,"Ace/Avant Concrete Construction Co., Inc.",ACE,1,2
AcelRx Pharmaceuticals Inc,"AcelRx Pharmaceuticals, Inc.",ACRX,0,24
Achaogen Inc,"Achaogen, Inc.",AKAO,0,21
Achillion Pharmaceuticals Inc,"Achillion Pharmaceuticals, Inc.",ACHN,0,73
Aclara Biosciences Inc,"ACLARA Biosciences, Inc.",ACLA,0,59
Aclaris Therapeutics Inc,"ACLARIS THERAPEUTICS, INC.",ACRS,0,7
Acme Packet Inc,"Acme Packet, Inc.",APKT,0,29
Acorda Therapeutics Inc,"Acorda Therapeutics, Inc.",ACOR,0,82
Acorn Products Inc,"Acorn Products, LLC",ACRN,1,8
Acres Gaming,Acres Gaming Incorporated,AGAM,1,46
ACSYS Inc,ACSYS HOLDINGS LIMITED,ACSY,0,2
ACSYS Inc,ACSYS Inc.,ACSY,0,1
ACSYS Inc,"Acsys IP Holding, Inc.",ACSY,0,7
ACSYS Inc,ACSYS Lasertechnik GmbH,ACSY,0,1
Actel,Actel Corporation,ACTL,0,467
Action Performance Companies,Action Performance Companies,ACTN,1,3
Actions Semiconductor,"Actions Semiconductor Co., Ltd.",ACTS,1,10
Active Power Inc,"Active Power, Inc.",ACPW,1,44
Active Voice,Active Voice Corporation,ACVC,1,10
"ACTIVISION, INC.","Activision, Inc.",AVSN,0,1
"ACTMEDIA, INC.","Actmedia, Inc.",ACTM,0,8
Actuate Software Corp,Actuate Software Corporation,ACTU,0,2
ACTV Inc.,"ACTV, Inc.",IATV,0,30
Acuson,Acuson Corporation,ACSN,0,399
Acusphere Inc,"Acusphere, Inc.",ACUS,0,27
Adamas Pharmaceuticals Inc,"Adamas Pharmaceuticals, Inc.",ADMS,0,27
Adams Golf Inc,"Adams Golf I. P., L.P.",ADGO,1,1
Adams Golf Inc,"Adams Golf IP, L.P.",ADGO,1,60
Adaptec,ADAPTEC MEDICAL DEVICES LLC,ADPT,0,2
Adaptec,"Adaptec, Inc.",ADPT,0,456
Adaptive Solutions Inc,"Adaptive Solutions, Inc.",ADSO,1,5
ADCO Technologies,"ADCO Aerospace, Inc.",ADCO,0,2
ADCO Technologies,"ADCO Buckets, Inc.",ADCO,0,1
ADCO Technologies,Adco Company,ADCO,0,1
ADCO Technologies,ADCO Enterprises Inc.,ADCO,0,1
ADCO Technologies,Adco Industries,ADCO,0,1
ADCO Technologies,ADCO Industries Ã¢â‚¬â€Technologies L.P.,ADCO,0,1
ADCO Technologies,"ADCO Industries-Technologies, L.P.",ADCO,0,7
ADCO Technologies,"ADCO IndustriesÃ¢â‚¬â€Technologies, L.P.",ADCO,0,20
ADCO Technologies,"Adco Koki Co., Ltd.",ADCO,0,1
ADCO Technologies,Adco Products Incorporated,ADCO,0,1
ADCO Technologies,"Adco Products, Inc.",ADCO,0,50
ADCO Technologies,ADCO UMWELTDIENSTE HOLDING GMBH,ADCO,0,1
ADCO Technologies,ADCO Venetian Blind Company,ADCO,0,1
ADCO Technologies,Adco-Applied Development Co. Inc.,ADCO,0,1
ADCO Technologies,Adco-West Machinery Manufacturing Company,ADCO,0,1
ADCO Technologies,"Adco, Ltd.",ADCO,0,1
Addington Resources,"Addington Resources, Inc.",ADDR,0,1
ADDITIVE TECHNOLOGY,"ADDITIVE DEVICE, INC.",ADTC,1,1
ADDITIVE TECHNOLOGY,"Additive Ophthalmic Optics, LLC",ADTC,1,1
ADDITIVE TECHNOLOGY,"Additive Orthopaedics, LLC.",ADTC,1,1
ADDITIVE TECHNOLOGY,Additive Rocket Corporation,ADTC,1,2
ADDITIVE TECHNOLOGY,Additive Systems Inc.,ADTC,1,1
ADDITIVE TECHNOLOGY,Additive Technology Corporation,ADTC,1,3
ADE,ADE Corporation,ADEX,0,48
ADE,ADE Optical Systems Corporation,ADEX,0,9
ADE,ADE Phase Shift Technology,ADEX,0,1
ADE,ADE photonExa GmbH,ADEX,0,1
ADE,ADE Technologies,ADEX,0,1
ADE,ADE Technology Inc.,ADEX,0,1
ADE,Ade Therapeutics Inc.,ADEX,0,1
ADE,"ADE, Inc.",ADEX,0,24
Adept Technology,ADEPT AI SYSTEMS INC.,ADTK,1,1
Adept Technology,Adept Industries Limited,ADTK,1,1
Adept Technology,Adept Limited,ADTK,1,2
Adept Technology,Adept MobileRobots LLC,ADTK,1,1
Adept Technology,"Adept Power Systems, Inc.",ADTK,1,1
Adept Technology,"Adept Science & Technologies, LLC",ADTK,1,1
Adept Technology,Adept Technologies A/S,ADTK,1,2
Adept Technology,"Adept Technology, Inc.",ADTK,1,24
